Sum of rmse,Column Labels,,,,,,,,,,,,,
Row Labels,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,Grand Total,,,
5,1.966276096,1.933135343,1.923420204,1.922197596,1.924769115,1.929212547,1.934634068,1.940583099,1.946819936,1.953212501,19.3742605,,,
7,1.920163258,1.904876517,1.908080328,1.915901676,1.924804076,1.933701399,1.942253767,1.950380038,1.958093065,1.965438039,19.32369216,,,
9,1.897648752,1.90251913,1.917647689,1.93251433,1.945699473,1.957234791,1.967403257,1.976491749,1.984740772,1.992341211,19.47424115,,,
11,1.890507115,1.914981009,1.938848779,1.957936245,1.973215825,1.985764208,1.996375139,2.005603219,2.013835445,2.0213448,19.69841178,,,
13,1.895848501,1.935585901,1.964597321,1.985501994,2.001314273,2.013878451,2.024310379,2.033306779,2.041317491,2.048641552,19.94430264,,,
15,1.909603216,1.959548832,1.990803585,2.011915453,2.027370285,2.039465166,2.049463379,2.058104891,2.065845269,2.072976059,20.18509614,,,
Grand Total,11.48004694,11.55064673,11.64339791,11.7259673,11.79717305,11.85925656,11.91443999,11.96446978,12.01065198,12.05395416,118.0000044,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,sigma_square,,,,,,,,,
,,,,b,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
,,,,5,1.966276096,1.933135343,1.923420204,1.922197596,1.924769115,1.929212547,1.934634068,1.940583099,1.946819936,1.953212501
,,,,7,1.920163258,1.904876517,1.908080328,1.915901676,1.924804076,1.933701399,1.942253767,1.950380038,1.958093065,1.965438039
,,,,9,1.897648752,1.90251913,1.917647689,1.93251433,1.945699473,1.957234791,1.967403257,1.976491749,1.984740772,1.992341211
,,,,11,1.890507115,1.914981009,1.938848779,1.957936245,1.973215825,1.985764208,1.996375139,2.005603219,2.013835445,2.0213448
,,,,13,1.895848501,1.935585901,1.964597321,1.985501994,2.001314273,2.013878451,2.024310379,2.033306779,2.041317491,2.048641552
,,,,15,1.909603216,1.959548832,1.990803585,2.011915453,2.027370285,2.039465166,2.049463379,2.058104891,2.065845269,2.072976059
