Star Wars,My Fair Lady,GoodFellas
"Empire Strikes Back, The (1980)",Mary Poppins (1964),Casino (1995)
Raiders of the Lost Ark (1981),Sense and Sensibility (1995),Once Upon a Time in the West (1969)
Return of the Jedi (1983),"Sound of Music, The (1965)","Good, The Bad and The Ugly, The (1966)"
"Blues Brothers, The (1980)",Emma (1996),Bonnie and Clyde (1967)
"Day the Earth Stood Still, The (1951)",Alice in Wonderland (1951),Full Metal Jacket (1987)
"Terminator, The (1984)","Wizard of Oz, The (1939)","Godfather: Part II, The (1974)"
Indiana Jones and the Last Crusade (1989),Beauty and the Beast (1991),2001: A Space Odyssey (1968)
"Usual Suspects, The (1995)","Family Thing, A (1996)","Godfather, The (1972)"
Terminator 2: Judgment Day (1991),Snow White and the Seven Dwarfs (1937),Cool Hand Luke (1967)
Star Trek: The Wrath of Khan (1982),Cinderella (1950),Short Cuts (1993)
