Star Wars,My Fair Lady,GoodFellas
"Empire Strikes Back, The (1980)","Sound of Music, The (1965)",Once Upon a Time in the West (1969)
Return of the Jedi (1983),My Family (1995),Casino (1995)
Raiders of the Lost Ark (1981),Ninotchka (1939),Full Metal Jacket (1987)
"Princess Bride, The (1987)",Snow White and the Seven Dwarfs (1937),"Godfather: Part II, The (1974)"
Indiana Jones and the Last Crusade (1989),Sabrina (1954),"Good, The Bad and The Ugly, The (1966)"
"Day the Earth Stood Still, The (1951)",Cinderella (1950),"Professional, The (1994)"
Young Frankenstein (1974),"Adventures of Pinocchio, The (1996)",2001: A Space Odyssey (1968)
Toy Story (1995),"Parent Trap, The (1961)",Alien (1979)
"Terminator, The (1984)","Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",Apocalypse Now (1979)
"Usual Suspects, The (1995)",Meet Me in St. Louis (1944),Psycho (1960)
